movie,genre,runtime,certificate,rating,stars,description,votes,director
Fireflies in the Garden,Drama            ,99 min,R,6.4,"['Ryan Reynolds, ', 'Willem Dafoe, ', 'Emily Watson, ', 'Carrie-Anne Moss', '']",The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,$3.39M,['Dennis Lee']
Certain Women,Drama            ,107 min,R,6.4,"['Michelle Williams, ', 'Kristen Stewart, ', 'Laura Dern, ', 'James Le Gros', '']","The lives of three women intersect in small-town America, where each is imperfectly blazing a trail.",$1.03M,['Kelly Reichardt']
Pather Panchali,Drama            ,125 min,U,8.2,"['Kanu Bannerjee, ', 'Karuna Bannerjee, ', 'Subir Banerjee, ', 'Chunibala Devi', '']","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",$0.54M,['Satyajit Ray']
Il portiere di notte,Drama            ,118 min,,6.6,"['Dirk Bogarde, ', 'Charlotte Rampling, ', 'Philippe Leroy, ', 'Gabriele Ferzetti', '']","A concentration camp survivor rekindles her sadomasochistic relationship with her lover, a former SS officer - now working as a night porter at a Vienna hotel - but his former Nazi associates begin stalking them.",$0.63M,['Liliana Cavani']
Swimming with Sharks,Drama            ,52 min,A,6.4,"['Diane Kruger, ', 'Kiernan Shipka, ', 'Finn Jones, ', 'Gerardo Celasco', '']","A young female assistant who is at the center of a studio filled with manipulators, schemers and intrigue. Little do they know she is poised to outwit them all.","1,589",
Papadag,Drama            ,50 min,,7.6,"['Ellen Parren, ', 'Hassan Slaby, ', 'Guido Pollemans, ', 'Ruben van der Meer', '']",Four fathers meet at the sandbox and decide to spend part of their 'daddy's day' together in the park every week.,224,
Eve's Bayou,Drama            ,108 min,R,7.2,"['Samuel L. Jackson, ', 'Jurnee Smollett, ', 'Meagan Good, ', 'Lynn Whitfield', '']","What did little Eve see--and how will it haunt her? Husband, father and womanizer Louis Batiste is the head of an affluent family, but it's the women who rule this gothic world of secrets, lies and mystic forces.",$14.82M,['Kasi Lemmons']
The Comey Rule,Drama            ,210 min,,7.5,"['Jeff Daniels, ', 'Holly Hunter, ', 'Michael Kelly, ', 'Jennifer Ehle', '']","Jeff Daniels and Brendan Gleeson star as former FBI Dir. James Comey and President Donald J. Trump in this limited series of the story of two powerful men, whose strikingly different ethics and loyalties put them on a collision course.","9,641",
Do Gubbare,Drama            ,,,9.1,"['Siddharth Shaw, ', 'Mohan Agashe, ', 'Ashok Kumar Beniwal, ', 'Hemangi Kavi', '']",Rohit moves from the city of Indore to the metropolis of Pune where he becomes a paying guest at Ajobaas Place.,134,['Varun Narvekar']
A Million Little Pieces,Drama            ,113 min,R,6.2,"['Aaron Taylor-Johnson, ', 'Billy Bob Thornton, ', 'Odessa Young, ', 'Giovanni Ribisi', '']",A drug-dependent young man faces his past and his inner demons after he is interned in an institution for addicted.,"3,829",['Sam Taylor-Johnson']
Cranford,Drama            ,469 min,,8.3,"['Judi Dench, ', 'Imelda Staunton, ', 'Julia McKenzie, ', 'Lisa Dillon', '']","In the 1840s, Cranford is ruled by the ladies. They adore good gossip, and romance and change is in the air, as the unwelcome grasp of the Industrial Revolution rapidly approaches their beloved rural market-town.","10,217",
Dare mo shiranai,Drama            ,141 min,PG-13,8,"['Yûya Yagira, ', 'Ayu Kitaura, ', 'Hiei Kimura, ', 'Momoko Shimizu', '']","In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",$0.68M,['Hirokazu Koreeda']
Life as a House,Drama            ,125 min,UA,7.5,"['Hayden Christensen, ', 'Kevin Kline, ', 'Kristin Scott Thomas, ', 'Jena Malone', '']","When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.",$15.65M,['Irwin Winkler']
Anchiporuno,Drama            ,76 min,,6.4,"['Ami Tomite, ', 'Mariko Tsutsui, ', 'Fujiko, ', 'Sayaka Kotani', '']",Japan's oldest major movie studio asks a batch of venerable filmmakers to revive its high-brow soft-core Roman Porno series.,"4,630",['Sion Sono']
La disubbidienza,Drama            ,98 min,,5.2,"['Stefania Sandrelli, ', 'Teresa Ann Savoy, ', 'Mario Adorf, ', 'Marie-José Nat', '']","Northern Italy under fascist rule: Luca becomes a partisan, but after the war ends things are not as he had hoped for him and he decides to die. Then he meets women.",277,['Aldo Lado']
Charter,Drama            ,94 min,,6.2,"['Ane Dahl Torp, ', 'Sverrir Gudnason, ', 'Troy Lundkvist, ', 'Tintin Poggats Sarri', '']","After a divorce, Alice hasn't seen her children in two months as she awaits a custody verdict. When her son calls her in the middle of the night, Alice takes action, abducting the children on an illicit charter trip to the Canary Islands.","1,419",['Amanda Kernell']
Litsoneras,Drama            ,105 min,,6.8,"['Yen Durano, ', 'Jamilla Obispo, ', 'VR Relosa, ', 'Joko Diaz', '']",Elria finds out her mother Minerva is having an affair with their worker named Jonas. She plans a dark scheme to break their relationship without knowing she'll be burnt by temptation.,16,['Roman Perez Jr.']
Waiting for the Barbarians,Drama            ,112 min,,5.9,"['Mark Rylance, ', 'Johnny Depp, ', 'Robert Pattinson, ', 'Gana Bayarsaikhan', '']","At an isolated frontier outpost, a colonial magistrate suffers a crisis of conscience when an army colonel arrives looking to interrogate the locals about an impending uprising, using cruel tactics that horrify the magistrate.","13,681",['Ciro Guerra']
Help,Drama            ,98 min,,7.6,"['Jodie Comer, ', 'Stephen Graham, ', 'Lesley Sharp, ', 'Ian Hart', '']","Sarah seems to have found her calling working in a Liverpool care home where she has a special talent for connecting with the residents. Then, in March 2020, the Coronavirus pandemic hits.","11,172",['Marc Munden']
The Glass Room,Drama            ,104 min,,5.5,"['Carice van Houten, ', 'Hanna Alström, ', 'Claes Bang, ', 'Alexandra Borbély', '']","Liesel Landauer and her friend Hana are linked by a lifelong relationship and an exceptional house built by the architect Von Abt for Liesel and her husband Viktor in Czechoslovakia in the ...                See full summary »
",947,['Julius Sevcík']
In-gan-jung-dok,Drama            ,132 min,,6.2,"['Song Seung-heon, ', 'Lim Ji-yeon, ', 'Cho Yeo-jeong, ', 'Joo-Wan On', '']","A secret, passionate affair happens in the summer of 1969 between Colonel Jin Pyeong, trapped in a loveless marriage with Soo Jin, and Jong Ga Heun, the Chinese-Korean wife of Captain Kyung Woo Jin.","2,148",['Dae-woo Kim']
Blue Bayou,Drama            ,117 min,R,7.1,"['Justin Chon, ', 'Alicia Vikander, ', ""Mark O'Brien, "", 'Linh-Dan Pham', '']","As a Korean-American man raised in the Louisiana bayou works hard to make a life for his family, he must confront the ghosts of his past as he discovers that he could be deported from the only country he has ever called home.","9,162",['Justin Chon']
A Mouthful of Air,Drama            ,105 min,R,6,"['Amanda Seyfried, ', 'Olivia Katz, ', 'Christian Kutz, ', 'Finn Wittrock', '']","Julie Davis writes bestselling children's books about unlocking your fears, but has yet to unlock her own. When her daughter is born, that trauma is brought to the fore, and with it, a crushing battle to survive.","2,175",['Amy Koppelman']
As They Made Us,Drama            ,100 min,R,5.8,"['Dustin Hoffman, ', 'Dianna Agron, ', 'Simon Helberg, ', 'Candice Bergen', '']",A divorced mom tries to make peace with her dysfunctional family as she finds a second chance at love.,"1,395",['Mayim Bialik']
Hillside,Drama            ,25 min,,7,"['Laura Harris, ', 'Chris William Martin, ', 'Todd Talbot, ', 'Andrew Baskin', '']","'Fifteen' follows the students of fictional Hillside School and dealt with a variety of issues including dating, divorce, alcohol abuse, and friendship. The show played heavily into ...                See full summary »
",494,
Places in the Heart,Drama            ,111 min,,7.4,"['Sally Field, ', 'Lindsay Crouse, ', 'Ed Harris, ', 'Amy Madigan', '']","In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman.",$34.90M,['Robert Benton']
SK Sir Ki Class,Drama            ,29 min,Not Rated,8.3,"['Abhilash Thapliyal, ', 'Gagan Arora, ', 'Rajesh Jais, ', 'Venus Singh', '']","It is often said that UPSC is not a race, but a marathon that prepares you for your life. Will Ashish succeed in winning the marathon of his life under the guidance of SK Sir and his lessons of patience, perseverance and dedication?","6,045",
"To Sir, with Love",Drama            ,105 min,U,7.6,"['Sidney Poitier, ', 'Judy Geeson, ', 'Christian Roberts, ', 'Suzy Kendall', '']",Idealistic engineer-trainee and his experiences in teaching a group of rambunctious white high school students from the slums of London's East End.,$42.43M,['James Clavell']
Palo Alto,Drama            ,100 min,R,6.2,"['Emma Roberts, ', 'James Franco, ', 'Jack Kilmer, ', 'Zoe Levin', '']","An unflinching portrait of adolescent lust, boredom, and self-destruction that centers around a shy young girl on the cusp of an illicit relationship with her soccer coach.",$0.75M,['Gia Coppola']
Masaan,Drama            ,109 min,A,8.1,"['Richa Chadha, ', 'Sanjay Mishra, ', 'Vicky Kaushal, ', 'Pankaj Tripathi', '']","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.","29,623",['Neeraj Ghaywan']
About Cherry,Drama            ,98 min,R,4.8,"['Ashley Hinshaw, ', 'James Franco, ', 'Heather Graham, ', 'Lili Taylor', '']","A troubled young woman moves to San Francisco, where she becomes involved in pornography and aligns herself with a cocaine-addicted lawyer.",$0.00M,['Stephen Elliott']
The Client List,Drama            ,88 min,,5.6,"['Jennifer Love Hewitt, ', 'Teddy Sears, ', 'Sonja Bennett, ', 'Lynda Boyd', '']","A young woman takes a job at a massage parlor to support her family when her husband is unable to work, and soon finds her life spiraling out of control.","7,766",['Eric Laneuville']
North Country,Drama            ,126 min,7,7.3,"['Charlize Theron, ', 'Jeremy Renner, ', 'Frances McDormand, ', 'Thomas Curtis', '']","A fictionalized account of the first major successful sexual harassment case in the United States, Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",$18.32M,['Niki Caro']
Cruel Intentions 2,Drama            ,87 min,R,4.4,"['Robin Dunne, ', 'Sarah Thompson, ', 'Keri Lynn Pratt, ', 'Amy Adams', '']","This takes place several years before Cruel Intentions (1999), back to when Kathryn first meets Sebastian, their sexual attraction to each other and their enjoyment in destroying the lives of their peers.","15,922",['Roger Kumble']
Outside In,Drama            ,109 min,,6.7,"['Edie Falco, ', 'Jay Duplass, ', 'Louis Hobson, ', 'Alycia Delmore', '']",An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.,$0.07M,['Lynn Shelton']
Amanda,Drama            ,107 min,,7,"['Vincent Lacoste, ', 'Isaure Multrier, ', 'Stacy Martin, ', 'Ophélia Kolb', '']","After his sister is brutally killed, David finds himself in charge of his 7 year old niece, Amanda.","3,216",['Mikhaël Hers']
On the Edge,Drama            ,85 min,R,6.9,"['Cillian Murphy, ', 'Tricia Vessey, ', 'Martin Carney, ', 'Paul Hickey', '']",On the Edge is about suicidal patients discovering their true selves while going through therapy in a treatment center.,"4,551",['John Carney']
Doctor Cha,Drama            ,60 min,UA,7.5,"['Uhm Junghwa, ', 'Kim Mi-kyung, ', 'Kim Byeong-cheol, ', 'Min Woo-Hyuk', '']","It tells the story of a medical graduate turned housewife but decided to return to the medical field, and a doctor husband who maintains a perfect dual life. He is great at his job and he is also great at cheating on his wife.","1,280",
The Secret Life of Bees,Drama            ,114 min,PG-13,7.2,"['Dakota Fanning, ', 'Jennifer Hudson, ', 'Queen Latifah, ', 'Alicia Keys', '']","In 1964, a teenage girl in search of the truth about her mother runs away to a small town in South Carolina and finds a family of independent women who can connect her to her past.",$37.77M,['Gina Prince-Bythewood']
The Girlfriend Experience,Drama            ,77 min,R,5.5,"['Sasha Grey, ', 'Chris Santos, ', 'Philip Eytan, ', 'Colby Trane', '']","A drama set in the days leading up to the 2008 Presidential election, and centered on a high-end Manhattan call girl meeting the challenges of her boyfriend, her clients, and her work.",$0.70M,['Steven Soderbergh']
Ode to Billy Joe,Drama            ,106 min,,6.5,"['Robby Benson, ', ""Glynnis O'Connor, "", 'Joan Hotchkis, ', 'Sandy McPeak', '']","In 1950s Mississippi, teenager Bobbie Lee Hartley navigates her blossoming hormones as she is courted by Billy Joe McAllister, who is headed for tragedy.","1,989",['Max Baer Jr.']
Come Home,Drama            ,60 min,,6.9,"['Christopher Eccleston, ', 'Paula Malcomson, ', 'Anthony Boyle, ', 'Kerri Quinn', '']","Greg and Marie have been married for nineteen years, when, seemingly out of the blue, Marie walks out on him and her three children - the last taboo of parenting.",789,
The Mustang,Drama            ,96 min,R,6.8,"['Matthias Schoenaerts, ', 'Jason Mitchell, ', 'Bruce Dern, ', 'Gideon Adlon', '']","While participating in a rehabilitation program training wild mustangs, a convict at first struggles to connect with the horses and his fellow inmates, but he learns to confront his violent past as he soothes an especially feisty horse.",$5.04M,['Laure de Clermont-Tonnerre']
Brookside,Drama            ,25 min,,6.6,"['Alexandra Fletcher, ', 'Dean Sullivan, ', 'Paul Byatt, ', 'Claire Sweeney', '']","The everyday life and times of the residents, friends and enemies who live in a suburban street in the city of Liverpool in the north of England.",878,
"Rich Man, Poor Man",Drama            ,566 min,,8.2,"['Peter Strauss, ', 'Nick Nolte, ', 'Susan Blakely, ', 'Dorothy McGuire', '']","An examination of the trials and tribulations of the Jordache family, from the period following World War II to the late 1960s.","3,264",
The Assistant,Drama            ,87 min,R,6.4,"['Julia Garner, ', 'Owen Holland, ', 'Jon Orsini, ', 'Rory Kulz', '']","A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.","24,393",['Kitty Green']
Sisters,Drama            ,60 min,,7.5,"['Swoosie Kurtz, ', 'Patricia Kalember, ', 'Sela Ward, ', 'Elizabeth Hoffman', '']","Follows the lives and loves of four close, but very different, sisters of the Reed family living in Winnetka, Illinois.","2,193",
Monica,Drama            ,106 min,R,6.2,"['Trace Lysette, ', 'Patricia Clarkson, ', 'Emily Browning, ', 'Joshua Close', '']","The intimate portrait of a woman who returns home to care for her dying mother. A delicate and nuanced story of a fractured family, the story explores universal themes of abandonment, aging, acceptance, and redemption.",724,['Andrea Pallaoro']
On Swift Horses,Drama            ,,,,"['Daisy Edgar-Jones, ', 'Jacob Elordi, ', 'Will Poulter, ', 'Diego Calva', '']","Muriel and her husband Lee who are about to begin a bright new life is upended by arrival of Lee's brother. Muriel embarks a secret life, gambling on racehorses and discovering a love she never thought possible.",,['Daniel Minahan']
Elles,Drama            ,99 min,NC-17,5.6,"['Juliette Binoche, ', 'Anaïs Demoustier, ', 'Joanna Kulig, ', 'Louis-Do de Lencquesaing', '']","On her latest assignment, a journalist for Elle immerses herself in a prostitution ring run by university students.",$0.16M,['Malgorzata Szumowska']
Juste la fin du monde,Drama            ,97 min,,6.8,"['Gaspard Ulliel, ', 'Marion Cotillard, ', 'Léa Seydoux, ', 'Vincent Cassel', '']","Louis (Gaspard Ulliel), a terminally ill writer, returns home after a long absence to tell his family that he is dying.","24,578",['Xavier Dolan']
Leave the World Behind,Drama            ,,R,,"['Julia Roberts, ', 'Ethan Hawke, ', 'Kevin Bacon, ', ""Myha'la Herrold"", '']",Family drama based on the upcoming novel by Rumaan Alam.,,['Sam Esmail']
Safe,Drama            ,119 min,R,7.1,"['Julianne Moore, ', 'Xander Berkeley, ', 'Dean Norris, ', 'Julie Burgess', '']",An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,$0.51M,['Todd Haynes']
Looking for Mr. Goodbar,Drama            ,136 min,,6.7,"['Diane Keaton, ', 'Richard Gere, ', 'Tuesday Weld, ', 'William Atherton', '']","A dedicated schoolteacher spends her nights cruising bars, looking for abusive men with whom she can engage in progressively extreme sexual encounters.",$16.90M,['Richard Brooks']
Valor,Drama            ,42 min,,6,"['Christina Ochoa, ', 'Matt Barr, ', 'Charlie Barnett, ', 'Nigel Thatch', '']",A United States Army base serves as home to an elite unit of helicopter pilots trained to perform clandestine international and domestic missions.,"3,336",
The Path,Drama            ,60 min,,7.2,"['Aaron Paul, ', 'Michelle Monaghan, ', 'Emma Greenwell, ', 'Kyle Allen', '']",A man who converts to a controversial following suffers from a crisis of faith.,"9,145",
Wall Street: Money Never Sleeps,Drama            ,133 min,PG-13,6.2,"['Shia LaBeouf, ', 'Michael Douglas, ', 'Carey Mulligan, ', 'Josh Brolin', '']","Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire.",$52.47M,['Oliver Stone']
Black Narcissus,Drama            ,101 min,,7.7,"['Deborah Kerr, ', 'David Farrar, ', 'Flora Robson, ', 'Jenny Laird', '']","A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.","26,415",
À plein temps,Drama            ,88 min,,7.4,"['Laure Calamy, ', 'Anne Suarez, ', 'Geneviève Mnich, ', 'Nolan Arizmendi', '']","Just when Julie finally gets an interview for a job that will let her raise her children better, she runs into a national transit strike.","3,189",['Eric Gravel']
The Burial,Drama            ,126 min,R,,"['Jamie Foxx, ', 'Tommy Lee Jones, ', 'Bill Camp, ', 'Alan Ruck', '']","Inspired by true events, a lawyer helps a funeral home owner save his family business from a corporate behemoth, exposing a complex web of race, power, and injustice.",,['Maggie Betts']
Sátántangó,Drama            ,439 min,,8.2,"['Mihály Vig, ', 'Putyi Horváth, ', 'László feLugossy, ', 'Éva Almássy Albert', '']","On the eve of a large payment, residents of a collapsing collective farm see their plans turn into desolation when they discover that Irimiás, a former co-worker who they thought was dead, is returning to the community.","11,985",['Béla Tarr']
Twirl,Drama            ,59 min,,6.4,"['Bev Adams, ', 'Jennifer Aileen, ', 'Jill Anton, ', 'Bill Blont', '']",Some are addicted to drugs - Some Food - Some their career But then others are addicted to SEX.,10,['Joey Harlow']
Ragtime,Drama            ,155 min,,7.3,"['James Cagney, ', 'Elizabeth McGovern, ', 'Howard E. Rollins Jr., ', 'Brad Dourif', '']","A young black pianist becomes embroiled in the lives of an upper-class white family set among the racial tensions, infidelity, violence and other nostalgic events in early 1900s New York City.",$21.02M,['Milos Forman']
Juniper,Drama            ,94 min,,6.5,"['Charlotte Rampling, ', 'Marton Csokas, ', 'George Ferrier, ', 'Edith Poor', '']","When a self-destructive teenager is suspended from school and asked to look after his feisty alcoholic grandmother as a punishment, the crazy time they spend together turns his life around.","1,429",['Matthew J. Saville']
"Oslo, 31. august",Drama            ,95 min,,7.6,"['Anders Danielsen Lie, ', 'Hans Olav Brenner, ', 'Ingrid Olava, ', 'Malin Crépin', '']","One day in the life of Anders, a young recovering drug addict, who takes a brief leave from his treatment center to interview for a job and catch up with old friends in Oslo.",$0.10M,['Joachim Trier']
Dickensian,Drama            ,60 min,,7.6,"['Tuppence Middleton, ', 'Sophie Rundle, ', 'Alexandra Moen, ', 'Joseph Quinn', '']","Drama set within the fictional realms of Charles Dickens critically acclaimed novels, bringing together some of his most iconic characters as their lives intertwine in 19th century London.","3,753",
Sweetbitter,Drama            ,29 min,,7,"['Ella Purnell, ', 'Tom Sturridge, ', 'Evan Jonigkeit, ', 'Eden Epstein', '']",A young woman learns how crazy it is to work in a restaurant.,"4,777",
Kyss mig,Drama            ,105 min,,6.8,"['Ruth Vega Fernandez, ', 'Liv Mjönes, ', 'Krister Henriksson, ', 'Lena Endre', '']",A young woman engaged to be married finds herself in an affair with her soon-to-be stepmother's lesbian daughter.,"11,558",['Alexandra-Therese Keining']
Seven Veils,Drama            ,107 min,,,"['Amanda Seyfried, ', 'Douglas Smith, ', 'Rebecca Liddiard, ', 'Maia Jae Bastidas', '']","An earnest theater director has the task of remounting her former mentor's most famous work, the opera Salome. Some disturbing memories from her past will allow her repressed trauma to color the present.",,['Atom Egoyan']
The Unknown Country,Drama            ,85 min,,7.8,"['Lily Gladstone, ', 'Raymond Lee, ', 'Richard Ray Whitman, ', 'Lainey Bearkiller Shangreaux', '']",An unexpected invitation rushes a grieving young woman into a lonely road trip through the American Midwest towards the border between Texas and Mexico.,69,['Morrisa Maltz']
Baby the Rain Must Fall,Drama            ,100 min,,6.3,"['Lee Remick, ', 'Steve McQueen, ', 'Don Murray, ', 'Paul Fix', '']","In Texas, a woman and her young daughter head down to another town where the girl's irresponsible, hotheaded and immature father has just been released from prison on parole.","1,870",['Robert Mulligan']
Amanda,Drama            ,93 min,,6.6,"['Benedetta Porcaroli, ', 'Galatéa Bellugi, ', 'Giovanna Mezzogiorno, ', 'Michele Bravi', '']","Amanda, 24, lives mostly isolated and has never had any friends, even if it's the thing she wants the most. Amanda chooses as her new mission to convince her childhood friend that they are still best friends.",350,['Carolina Cavalli']
Birth of a MURDERER,Drama            ,87 min,,,"['Michael Bundy II, ', 'Emmy Robinson', '']","Birth of a MURDERER: A Black male college student falls haplessly in love with a white coed and discovers she isn't how she appears. Slowly but surely, he begins to unravel and the result is both shocking and perplexing.",,['Darian Lane']
Allelujah,Drama            ,99 min,,6,"['Jesse Akele, ', 'Louis Ashbourne Serkis, ', 'Lorraine Ashbourne, ', 'Jessica Baglow', '']",The story of a geriatric ward in a small Yorkshire hospital threatened with closure.,"1,008",['Richard Eyre']
All the World Is Sleeping,Drama            ,110 min,,5.3,"['Melissa Barrera, ', 'Jackie Cruz, ', 'Kristen Gutoskie, ', 'Luis Bordonada', '']","Fighting for her own life and the ones she loves, a Mother in New Mexico sinks deeper in her addiction while struggling to surface for her daughter.",202,['Ryan Lacen']
The Cobweb,Drama            ,134 min,,6.3,"['Richard Widmark, ', 'Lauren Bacall, ', 'Charles Boyer, ', 'Gloria Grahame', '']","At a private psychiatric clinic, the daily dramas and interactions between the doctors, nurses, administrators, benefactors and patients are accentuated by the personal and family crises of these individuals.","1,986",['Vincente Minnelli']
The Kite Runner,Drama            ,128 min,PG-13,7.6,"['Khalid Abdalla, ', 'Ahmad Khan Mahmoodzada, ', 'Atossa Leoni, ', 'Shaun Toub', '']","After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",$15.80M,['Marc Forster']
Mary Kills People,Drama            ,44 min,,7.5,"['Caroline Dhavernas, ', 'Jay Ryan, ', 'Richard Short, ', 'August Winter', '']","Single mother Mary Harris is an ER doctor by day, but by night she and her partner, a former plastic surgeon, moonlight as underground angels of death who help terminally ill patients slip away on their own terms.","4,487",
Minamata,Drama            ,115 min,R,7.2,"['Akiko Iwase, ', 'Kogarashi Wakasugi, ', 'Johnny Depp, ', 'Katherine Jenkins', '']",War photographer W. Eugene Smith travels back to Japan where he documents the devastating effect of mercury poisoning in coastal communities.,"21,892",['Andrew Levitas']
Marvellous,Drama            ,90 min,,7.8,"['Toby Jones, ', 'Gemma Jones, ', 'Tony Curran, ', 'Nicholas Gleaves', '']","The life of Neil Baldwin, a man who has shrugged off his perceived limitations to live an incredible life.","6,375",['Julian Farino']
AlRawabi School for Girls,Drama            ,291 min,UA 16+,7.3,"['Rakeen Saad, ', 'Noor Taher, ', 'Joanna Arida, ', 'Andria Tayeh', '']",The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,"6,681",
Falling,Drama            ,112 min,Not Rated,6.5,"['Viggo Mortensen, ', 'Lance Henriksen, ', 'Laura Linney, ', 'Terry Chen', '']","John Peterson lives with his partner Eric and their adopted daughter in Southern California. When he is visited by his aging father who is searching for a place to retire, their two very different worlds collide.","6,597",['Viggo Mortensen']
Peak Practice,Drama            ,50 min,,6.4,"['Gary Mavers, ', 'Simon Shepherd, ', 'Esther Coles, ', 'Margery Mason', '']",Beth Glover and Will Preston are doctors in partnership at a Derbyshire clinic when they hire Jack who's returned from Africa. The next several years deal with their personal and professional lives with Jack and Beth marrying.,470,
"The Long, Hot Summer",Drama            ,115 min,,7.3,"['Paul Newman, ', 'Joanne Woodward, ', 'Anthony Franciosa, ', 'Orson Welles', '']","Accused barn burner and conman Ben Quick arrives in a small Mississippi town and quickly ingratiates himself with its richest family, the Varners.","11,805",['Martin Ritt']
The Oval,Drama            ,60 min,,4.4,"['Ed Quinn, ', 'Kron Moore, ', 'Ptosha Storey, ', 'Vaughn W. Hebron', '']",Newly-elected U.S. President Hunter Franklin and his family move into the White House.,"1,648",
The New Pope,Drama            ,60 min,,8.1,"['Jude Law, ', 'John Malkovich, ', 'Silvio Orlando, ', 'Cécile de France', '']",Two Popes. Only one Vatican. A holy war to come.,"17,615",
Here,Drama            ,,,,"['Kelly Reilly, ', 'Tom Hanks, ', 'Robin Wright, ', 'Jonathan Aris', '']","Set in one single room, follows the many people who inhabit it over years and years, from the past to the future.",,['Robert Zemeckis']
Cake,Drama            ,102 min,R,6.4,"['Jennifer Aniston, ', 'Adriana Barraza, ', 'Anna Kendrick, ', 'Sam Worthington', '']","The acerbic, hilarious Claire Bennett becomes fascinated by the suicide of a woman in her chronic pain support group. As she uncovers the details of Nina's suicide and develops a poignant relationship with Nina's husband, she also grapples with her own, very raw personal tragedy.",$1.87M,['Daniel Barnz']
Sanglyusahoe,Drama            ,120 min,18,5.6,"['Park Hae-il, ', 'Soo Ae, ', 'Kim Gyu-Sun, ', 'Lee Jin-Wook', '']","A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite.","1,179",['Hyuk Byun']
Imitation of Life,Drama            ,125 min,,7.8,"['Lana Turner, ', 'John Gavin, ', 'Sandra Dee, ', 'Susan Kohner', '']",An aspiring white actress takes in an African American widow whose mixed-race daughter is desperate to be seen as white.,$13.99M,['Douglas Sirk']
"They Shoot Horses, Don't They?",Drama            ,129 min,A,7.8,"['Jane Fonda, ', 'Michael Sarrazin, ', 'Susannah York, ', 'Gig Young', '']",The lives of a disparate group of contestants intertwine in an inhumanely grueling dance marathon.,$12.60M,['Sydney Pollack']
RFDS,Drama            ,,,7.9,"['Emma Hamilton, ', 'Rob Collins, ', 'Stephen Peacocke, ', 'Justine Clarke', '']",RFDS is an Australian drama television series which centres around the lives of workers for the Royal Flying Doctor Service of Australia.,936,
The Visitor,Drama            ,104 min,PG-13,7.6,"['Richard Jenkins, ', 'Haaz Sleiman, ', 'Danai Gurira, ', 'Hiam Abbass', '']",A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,$9.42M,['Tom McCarthy']
White Oleander,Drama            ,109 min,UA,7.1,"['Michelle Pfeiffer, ', 'Renée Zellweger, ', 'Robin Wright, ', 'Alison Lohman', '']",A teenager journeys through a series of foster homes after her mother goes to prison for committing a crime of passion.,$16.35M,['Peter Kosminsky']
Titanic: Blood and Steel,Drama            ,55 min,,7.2,"['Kevin Zegers, ', 'Alessandra Mastronardi, ', 'Derek Jacobi, ', 'Billy Carter', '']","The construction of the R.M.S. Titanic at the Harland and Wolff shipyard in Belfast against the background of union riots, political and religious conflicts, and a romance between a young ambitious engineer and an Italian immigrant.","2,091",
The Old Oak,Drama            ,113 min,,7.3,"['Trevor Fox, ', 'Debbie Honeywood, ', 'Laura Lee Daly, ', 'Neil Leiper', '']","The future for the last remaining pub, The Old Oak in a village of the Northeast England, where people are leaving the land as the mines are closed. Houses are cheap and available thus making it an ideal location for the Syrian refugees.",86,['Ken Loach']
The Idea of You,Drama            ,,,,"['Anne Hathaway, ', 'Nicholas Galitzine, ', 'Reid Scott, ', 'Perry Mattfeld', '']","Solène Marchand (Anne Hathaway), a 40-year-old single mother, begins an unexpected romance with 24-year-old Hayes Campbell (Nicholas Galitzine), the lead singer of the hottest boy band on the planet, August Moon.",,['Michael Showalter']
Camdaki Kiz,Drama            ,120 min,Not Rated,5.5,"['Burcu Biricik, ', 'Selma Ergeç, ', 'Feyyaz Serifoglu, ', 'Enis Arikan', '']","Nalan is a beautiful young woman who earns everyone's love at first sight with her warmth. As the only child of the family enlarged hand baby, baby roses, lived in the existence of life and...                See full summary »
","1,329",
